ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
76,apra_36,9999,228,-1::1,76,9999,pilot-apev_011t-1,,,,-1::1
77,apev_37,9999,231,0;1,77,9999,hgrd1_tv1-apev_011t-1,,,,-1::1
78,apra_37,9999,234,-1::1,78,9999,twinv-apra_011t-1,,,,0;1
79,apev_38,9999,237,0;1,79,9999,pilot-apra_011t-1,,,,0;1
80,apra_38,9999,240,-1::1,80,9999,hgrd1_tv1-apra_011t-1,,,,0;1
81,apev_39,9999,243,0;1,81,9999,twinv-apev_012t-1,,,,-1::1
82,apra_39,9999,246,-1::1,82,9999,pilot-apev_012t-1,,,,-1::1
83,apev_40,9999,249,0;1,83,9999,hgrd1_tv1-apev_012t-1,,,,-1::1
84,apra_40,9999,252,-1::1,84,9999,twinv-apra_012t-1,,,,0;1
85,apev_41,9999,255,0;1,85,9999,pilot-apra_012t-1,,,,0;1
86,apra_41,9999,258,-1::1,86,9999,hgrd1_tv1-apra_012t-1,,,,0;1
87,apev_42,9999,261,0;1,87,9999,twinv-apev_013t-1,,,,-1::1
88,apra_42,9999,264,-1::1,88,9999,pilot-apev_013t-1,,,,-1::1
89,apev_43,9999,267,0;1,89,9999,hgrd1_tv1-apev_013t-1,,,,-1::1
90,apra_43,9999,270,-1::1,90,9999,twinv-apra_013t-1,,,,0;1
91,apev_44,9999,273,0;1,91,9999,pilot-apra_013t-1,,,,0;1
92,apra_44,9999,276,-1::1,92,9999,hgrd1_tv1-apra_013t-1,,,,0;1
93,apev_45,9999,279,0;1,93,9999,twinv-apev_014t-1,,,,-1::1
94,apra_45,9999,282,-1::1,94,9999,pilot-apev_014t-1,,,,-1::1
95,apev_46,9999,285,0;1,95,9999,hgrd1_tv1-apev_014t-1,,,,-1::1
96,apra_46,9999,288,-1::1,96,9999,twinv-apra_014t-1,,,,0;1
97,apev_47,9999,291,0;1,97,9999,pilot-apra_014t-1,,,,0;1
98,apra_47,9999,294,-1::1,98,9999,hgrd1_tv1-apra_014t-1,,,,0;1
99,apev_48,9999,297,0;1,99,9999,twinv-apev_015t-1,,,,-1::1
100,apra_48,9999,300,-1::1,100,9999,pilot-apev_015t-1,,,,-1::1
101,apev_49,9999,303,0;1,101,9999,hgrd1_tv1-apev_015t-1,,,,-1::1
102,apra_49,9999,306,-1::1,102,9999,twinv-apra_015t-1,,,,0;1
103,apev_50,9999,309,0;1,103,9999,pilot-apra_015t-1,,,,0;1
104,apra_50,9999,312,-1::1,104,9999,hgrd1_tv1-apra_015t-1,,,,0;1
105,apev_51,9999,315,0;1,105,9999,twinv-apev_016t-1,,,,-1::1
106,apra_51,9999,318,-1::1,106,9999,pilot-apev_016t-1,,,,-1::1
107,apev_52,9999,321,0;1,107,9999,hgrd1_tv1-apev_016t-1,,,,-1::1
108,apra_52,9999,324,-1::1,108,9999,twinv-apra_016t-1,,,,0;1
109,apev_53,9999,327,0;1,109,9999,pilot-apra_016t-1,,,,0;1
110,apra_53,9999,330,-1::1,110,9999,hgrd1_tv1-apra_016t-1,,,,0;1
111,apev_54,9999,333,0;1,111,9999,twinv-apev_017t-1,,,,-1::1
112,apra_54,9999,336,-1::1,112,9999,pilot-apev_017t-1,,,,-1::1
113,apev_55,9999,339,0;1,113,9999,hgrd1_tv1-apev_017t-1,,,,-1::1
114,apra_55,9999,342,-1::1,114,9999,twinv-apra_017t-1,,,,0;1
115,apev_56,9999,345,0;1,115,9999,pilot-apra_017t-1,,,,0;1
116,apra_56,9999,348,-1::1,116,9999,hgrd1_tv1-apra_017t-1,,,,0;1
117,apev_57,9999,351,0;1,117,9999,twinv-apev_018t-1,,,,-1::1
118,apra_57,9999,354,-1::1,118,9999,pilot-apev_018t-1,,,,-1::1
119,apev_58,9999,357,0;1,119,9999,hgrd1_tv1-apev_018t-1,,,,-1::1
120,apra_58,9999,360,-1::1,120,9999,twinv-apra_018t-1,,,,0;1
121,apev_59,9999,363,0;1,121,9999,pilot-apra_018t-1,,,,0;1
122,apra_59,9999,366,-1::1,122,9999,hgrd1_tv1-apra_018t-1,,,,0;1
123,apev_60,9999,369,0;1,123,9999,twinv-apev_019t-1,,,,-1::1
124,apra_60,9999,372,-1::1,124,9999,pilot-apev_019t-1,,,,-1::1
125,apev_61,9999,375,0;1,125,9999,hgrd1_tv1-apev_019t-1,,,,-1::1
126,apra_61,9999,378,-1::1,126,9999,twinv-apra_019t-1,,,,0;1
127,apev_62,9999,381,0;1,127,9999,pilot-apra_019t-1,,,,0;1
128,apra_62,9999,384,-1::1,128,9999,hgrd1_tv1-apra_019t-1,,,,0;1
129,apev_63,9999,387,0;1,129,9999,twinv-apev_020t-1,,,,-1::1
130,apra_63,9999,390,-1::1,130,9999,pilot-apev_020t-1,,,,-1::1
131,apev_64,9999,393,0;1,131,9999,hgrd1_tv1-apev_020t-1,,,,-1::1
132,apra_64,9999,396,-1::1,132,9999,twinv-apra_020t-1,,,,0;1
133,apev_65,9999,399,0;1,133,9999,pilot-apra_020t-1,,,,0;1
134,apra_65,9999,402,-1::1,134,9999,hgrd1_tv1-apra_020t-1,,,,0;1
135,apev_66,9999,405,0;1,135,9999,twinv-apev_021t-1,,,,-1::1
136,apra_66,9999,408,-1::1,136,9999,pilot-apev_021t-1,,,,-1::1
137,apev_67,9999,411,0;1,137,9999,hgrd1_tv1-apev_021t-1,,,,-1::1
138,apra_67,9999,414,-1::1,138,9999,twinv-apra_021t-1,,,,0;1
139,apev_68,9999,417,0;1,139,9999,pilot-apra_021t-1,,,,0;1
140,apra_68,9999,420,-1::1,140,9999,hgrd1_tv1-apra_021t-1,,,,0;1
141,apev_69,9999,423,0;1,141,9999,twinv-apev_022t-1,,,,-1::1
142,apra_69,9999,426,-1::1,142,9999,pilot-apev_022t-1,,,,-1::1
143,apev_70,9999,429,0;1,143,9999,hgrd1_tv1-apev_022t-1,,,,-1::1
144,apra_70,9999,432,-1::1,144,9999,twinv-apra_022t-1,,,,0;1
145,apev_71,9999,435,0;1,145,9999,pilot-apra_022t-1,,,,0;1
146,apra_71,9999,438,-1::1,146,9999,hgrd1_tv1-apra_022t-1,,,,0;1
147,apev_72,9999,441,0;1,147,9999,twinv-apev_023t-1,,,,-1::1
148,apra_72,9999,444,-1::1,148,9999,pilot-apev_023t-1,,,,-1::1
149,apev_73,9999,447,0;1,149,9999,hgrd1_tv1-apev_023t-1,,,,-1::1
150,apra_73,9999,450,-1::1,150,9999,twinv-apra_023t-1,,,,0;1
151,apev_74,9999,453,0;1,151,9999,pilot-apra_023t-1,,,,0;1
152,apra_74,9999,456,-1::1,152,9999,hgrd1_tv1-apra_023t-1,,,,0;1
153,apev_75,9999,459,0;1,153,9999,twinv-apev_024t-1,,,,-1::1
154,apra_75,9999,462,-1::1,154,9999,pilot-apev_024t-1,,,,-1::1
155,apev_76,9999,465,0;1,155,9999,hgrd1_tv1-apev_024t-1,,,,-1::1
156,apra_76,9999,468,-1::1,156,9999,twinv-apra_024t-1,,,,0;1
157,apev_77,9999,471,0;1,157,9999,pilot-apra_024t-1,,,,0;1
158,apra_77,9999,474,-1::1,158,9999,hgrd1_tv1-apra_024t-1,,,,0;1
159,apev_78,9999,477,0;1,159,9999,twinv-apev_025t-1,,,,-1::1
160,apra_78,9999,480,-1::1,160,9999,pilot-apev_025t-1,,,,-1::1
161,apev_79,9999,483,0;1,161,9999,hgrd1_tv1-apev_025t-1,,,,-1::1
162,apra_79,9999,486,-1::1,162,9999,twinv-apra_025t-1,,,,0;1
163,apev_80,9999,489,0;1,163,9999,pilot-apra_025t-1,,,,0;1
164,apra_80,9999,492,-1::1,164,9999,hgrd1_tv1-apra_025t-1,,,,0;1
165,apev_81,9999,495,0;1,165,9999,twinv-apev_026t-1,,,,-1::1
166,apra_81,9999,498,-1::1,166,9999,pilot-apev_026t-1,,,,-1::1
167,apev_82,9999,501,0;1,167,9999,hgrd1_tv1-apev_026t-1,,,,-1::1
168,apra_82,9999,504,-1::1,168,9999,twinv-apra_026t-1,,,,0;1
169,apev_83,9999,507,0;1,169,9999,pilot-apra_026t-1,,,,0;1
170,apra_83,9999,510,-1::1,170,9999,hgrd1_tv1-apra_026t-1,,,,0;1
171,apev_84,9999,513,0;1,171,9999,twinv-apev_027t-1,,,,-1::1
172,apra_84,9999,516,-1::1,172,9999,pilot-apev_027t-1,,,,-1::1
173,apev_85,9999,519,0;1,173,9999,hgrd1_tv1-apev_027t-1,,,,-1::1
174,apra_85,9999,522,-1::1,174,9999,twinv-apra_027t-1,,,,0;1
175,apev_86,9999,525,0;1,175,9999,pilot-apra_027t-1,,,,0;1
176,apra_86,9999,528,-1::1,176,9999,hgrd1_tv1-apra_027t-1,,,,0;1
177,apev_87,9999,531,0;1,177,9999,twinv-apev_028t-1,,,,-1::1
178,apra_87,9999,534,-1::1,178,9999,pilot-apev_028t-1,,,,-1::1
179,apev_88,9999,537,0;1,179,9999,hgrd1_tv1-apev_028t-1,,,,-1::1
180,apra_88,9999,540,-1::1,180,9999,twinv-apra_028t-1,,,,0;1
181,apev_89,9999,543,0;1,181,9999,pilot-apra_028t-1,,,,0;1
182,apra_89,9999,546,-1::1,182,9999,hgrd1_tv1-apra_028t-1,,,,0;1
183,apev_90,9999,549,0;1,183,9999,twinv-apev_029t-1,,,,-1::1
184,apra_90,9999,552,-1::1,184,9999,pilot-apev_029t-1,,,,-1::1
185,apev_91,9999,555,0;1,185,9999,hgrd1_tv1-apev_029t-1,,,,-1::1
186,apra_91,9999,558,-1::1,186,9999,twinv-apra_029t-1,,,,0;1
187,apev_92,9999,561,0;1,187,9999,pilot-apra_029t-1,,,,0;1
188,apra_92,9999,564,-1::1,188,9999,hgrd1_tv1-apra_029t-1,,,,0;1
189,apev_93,9999,567,0;1,189,9999,twinv-apev_030t-1,,,,-1::1
190,apra_93,9999,570,-1::1,190,9999,pilot-apev_030t-1,,,,-1::1
191,apes_de,9999,,,191,9999,hgrd1_tv1-apev_030t-1,,,,-1::1
192,apes_dh,9999,,,192,9999,twinv-apra_030t-1,,,,0;1
193,apes_s,9999,,,193,9999,pilot-apra_030t-1,,,,0;1
194,dbc_tbps,9999,,,194,9999,hgrd1_tv1-apra_030t-1,,,,0;1
195,apes_ts,9999,"6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190",,195,9999,twinv-apev_031t-1,,sum,,-1::1
